Project URL,SHA Detected,Subproject Name,Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testCustomBodyPOJOReactiveTypes()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testCustomBodyPOJOAsPart()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.forms.FormsSubmissionsWithListsTest.formWithListOfMoreThanOne()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.forms.FormsInputNumberOptionalTest.formSubmissionOptionalInputTypeNumber()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testCustomBodyPOJODefaultToJSON()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationCodeGrantTests.requestWhenCustomConsentPageConfiguredThenRedirect()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationCodeGrantTests.requestWhenCustomConsentCustomizerConfiguredThenUsed()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationCodeGrantTests.requestWhenTokenRequestCustomEndpointThenReturnAccessTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationCodeGrantTests.requestWhenTokenRequestValidThenReturnAccessTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationCodeGrantTests.requestWhenConsentRequestThenReturnAccessTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenRefreshTokenRequestThenIdTokenContainsSidClaim()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenAuthenticationRequestWithOfflineAccessScopeThenTokenResponseIncludesRefreshToken()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenAuthenticationRequestThenTokenResponseIncludesIdToken()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenLogoutRequestThenLogout()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2AuthorizationEndpointFilterTests.doFilterWhenAuthenticationRequestAuthenticatedThenAuthorizationResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2DeviceVerificationEndpointFilterTests.doFilterWhenDeviceVerificationRequestAndConsentRequiredAndConsentPageSetThenRedirect()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2TokenEndpointFilterTests.doFilterWhenAuthorizationCodeTokenRequestThenAccessTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2TokenEndpointFilterTests.doFilterWhenClientCredentialsTokenRequestThenAccessTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.authentication.OAuth2DeviceCodeAuthenticationConverterTests.convertWhenAllParametersThenReturnDeviceCodeAuthenticationToken()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationCodeGrantTests.requestWhenCustomTokenGeneratorThenUsed()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2ClientCredentialsGrantTests.requestWhenTokenRequestValidThenTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2ClientCredentialsGrantTests.requestWhenTokenRequestPostsClientCredentialsAndRequiresUpgradingThenClientSecretUpgraded()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenLogoutRequestWithOtherUsersIdTokenThenNotLogout()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenCustomTokenGeneratorThenUsed()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OidcTests.requestWhenAuthenticationRequestWithoutOfflineAccessScopeThenTokenResponseDoesNotIncludeRefreshToken()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2TokenEndpointFilterTests.doFilterWhenRefreshTokenRequestThenAccessTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.authentication.OAuth2DeviceAuthorizationRequestAuthenticationConverterTests.convertWhenAllParametersThenReturnDeviceAuthorizationRequestAuthenticationToken()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2TokenIntrospectionTests.requestWhenObtainReferenceAccessTokenAndIntrospectThenActive()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2DeviceVerificationEndpointFilterTests.doFilterWhenDeviceAuthorizationConsentRequestThenSuccess()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.authentication.OAuth2DeviceVerificationAuthenticationConverterTests.convertWhenAllParametersThenReturnDeviceVerificationAuthentication()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2ClientCredentialsGrantTests.requestWhenTokenRequestPostsClientCredentialsThenTokenResponse()
https://github.com/spring-projects/spring-authorization-server,6ec92a073c057c691d5d83333fb6728cd4701d48,spring-security-oauth2-authorization-server,org.springframework.security.oauth2.server.authorization.web.OAuth2DeviceAuthorizationEndpointFilterTests.doFilterWhenDeviceAuthorizationRequestThenDeviceAuthorizationResponse()
https://github.com/deepjavalibrary/djl,c69aeb6cff248e1a6efc485e38db624e4ee800e5,api,ai.djl.ndarray.NDListTest.testSafetensors
https://github.com/deepjavalibrary/djl,c69aeb6cff248e1a6efc485e38db624e4ee800e5,api,ai.djl.util.PairListTest.testConstruction
https://github.com/rsocket/rsocket-java,6d0738974fc3451508112dfdaeee2e174666e1cc,rsocket-transport-netty,io.rsocket.transport.netty.TcpResumableWithFragmentationTransportTest.largePayloadRequestChannel50()
https://github.com/spring-projects/spring-kafka,769da20a980e5daf1adaad5b325db66abecdd3a6,spring-kafka,org.springframework.kafka.listener.KafkaMessageListenerContainerTests.testPauseResumeAndConsumerSeekAware()
https://github.com/spring-projects/spring-kafka,769da20a980e5daf1adaad5b325db66abecdd3a6,spring-kafka,org.springframework.kafka.support.DefaultKafkaHeaderMapperTests.testJsonStringConvert()
https://github.com/spring-projects/spring-kafka,769da20a980e5daf1adaad5b325db66abecdd3a6,spring-kafka,org.springframework.kafka.config.KafkaStreamsCustomizerTests.testKafkaStreamsCustomizer(KafkaStreamsConfiguration, KafkaStreamsConfig)
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-hadoop-mr,org.elasticsearch.hadoop.rest.ApplyAliasMetaDataTest.testOneAlias
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-hadoop-mr,org.elasticsearch.hadoop.rest.ApplyAliasMetaDataTest.testTwoAliases
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-hadoop-mr,org.elasticsearch.hadoop.rest.ApplyAliasMetaDataTest.testOneAliasWithQuery
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-hadoop-mr,org.elasticsearch.hadoop.rest.ApplyAliasMetaDataTest.testTwoAliasesWithQuery
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-spark,org.elasticsearch.spark.serialization.ScalaValueWriterTest.testCaseClassWithInnerObjectAndNullSetting
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-spark,org.elasticsearch.spark.serialization.ScalaValueWriterTest.testCaseClassWithSome
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-spark,org.elasticsearch.spark.serialization.ScalaValueWriterTest.testCaseClassWithInnerObject
https://github.com/elastic/elasticsearch-hadoop,3774f8f91d0661f86efda99fa4ef716e805a93c8,elasticsearch-spark,org.elasticsearch.spark.serialization.ScalaValueWriterTest.testCaseClassWithSomeAndNone
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.export.FHIRR4ExporterTest.testFHIRR4Export
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.export.flexporter.CustomFHIRPathResourceGeneratorR4Test.testArray1
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PersonTest.testPersonRecreationSerialDifferentGenerator
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PersonTest.testPersonFhirSTU3Recreation
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PersonTest.testPersonRecreationParallel
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PersonTest.testPersonFhirR4Recreation
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PersonTest.testPersonCcdaRecreation
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PersonTest.testPersonFhirDSTU2Recreation
https://github.com/synthetichealth/synthea,16ee9bcb6d983c35fc4c9399fd5c464a2760029a,.,org.mitre.synthea.world.agents.PayerTest.receiveMedicaidPregnancyEligible
https://github.com/mc1arke/sonarqube-community-branch-plugin,5e5ca504c435f5844f86feee02880469344c7de7,.,com.github.mc1arke.sonarqube.plugin.almclient.bitbucket.BitbucketServerClientUnitTest.testUploadAnnotations
https://github.com/mc1arke/sonarqube-community-branch-plugin,5e5ca504c435f5844f86feee02880469344c7de7,.,com.github.mc1arke.sonarqube.plugin.ce.pullrequest.azuredevops.AzureDevOpsPullRequestDecoratorTest.decorateQualityGateStatusClosedIssue
https://github.com/mc1arke/sonarqube-community-branch-plugin,5e5ca504c435f5844f86feee02880469344c7de7,.,com.github.mc1arke.sonarqube.plugin.almclient.github.v4.GraphqlGithubClientTest.verifyCheckRunSubmitsCorrectAnnotations()
https://github.com/mc1arke/sonarqube-community-branch-plugin,5e5ca504c435f5844f86feee02880469344c7de7,.,com.github.mc1arke.sonarqube.plugin.ce.pullrequest.azuredevops.AzureDevOpsPullRequestDecoratorTest.decorateQualityGateStatusNewIssue
https://github.com/LuckPerms/LuckPerms,e6599a26620f02d07667f0d2609aca83fbd18564,standalone,me.lucko.luckperms.standalone.CommandsIntegrationTest.testGroupCommands(Path)
